Адыгейский государственный университет;Cluster1;Cluster26
Благовещенский государственный педагогический университет;Cluster13;Cluster26
Российский новый университет;Cluster0;Cluster29
Алтайский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster2;Cluster29
Алтайский государственный университет;Cluster4;Cluster29
Белгородский государственный национальный исследовательский университет;Cluster11;Cluster29
Астраханский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster5;Cluster32
Балтийский федеральный университет имени Иммануила Канта;Cluster8;Cluster32
Астраханский государственный технический университет;Cluster6;Cluster32
Астраханский государственный университет;Cluster7;Cluster32
Алтайский государственный технический университет им. И.И. Ползунова;Cluster3;Cluster32
Владивостокский государственный университет экономики и сервиса;Cluster15;Cluster32
Белгородский государственный технологический университет им. В.Г. Шухова;Cluster12;Cluster32
Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;Cluster16;Cluster32
Башкирский государственный университет;Cluster10;Cluster32
Брянский государственный аграрный университет;Cluster14;Cluster32
Башкирский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster9;Cluster32
Волгоградский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster17;Cluster32
